mech,log10_ne,f_rx_MHz,aperture,eta_th0_r10,Pslw1_dBm_r10,eta_th0_r100,Pslw1_dBm_r100,eta_th0_r1000,Pslw1_dBm_r1000,J_Am2,Isrc_A,Fspec,fp_GHz,Ash_dB,Nhiv_dBm,Nconv_dBm,SNR_tem_dB_r100,SNR_th_dB_r100,etakap_sw_r100
vxB,16,1.0,hub,334.49959845882427,-152.48192669297268,3344.995984588242,-172.48192669297268,33449.959845882426,-192.48192669297268,0.92474637634912,0.0009247463763491201,0.003524206385959363,0.8978662820487434,1.3977044679215826,-101.99401467763553,-75.5940278251747,-131.15234237767663,-168.57093930191076,4730.538687488237
vxB,16,1.0,recip,0.2478618989830516,-89.87821013165699,2.4786189898305158,-109.87821013165699,24.786189898305157,-129.87821013165697,0.92474637634912,0.0009247463763491201,0.003524206385959363,0.8978662820487434,1.3977044679215826,-101.99401467763553,-75.5940278251747,-131.15234237767663,-168.57093930191076,3.505296591373816
vxB,16,30.0,hub,5688.931852974293,-177.1006142716337,56889.31852974292,-197.1006142716337,568893.1852974292,-217.1006142716337,0.92474637634912,0.0009247463763491201,1.2167254044603446e-05,0.8978662820487434,7.287399919143709,-101.99999964287517,-101.88851057856635,-130.69922074922516,-137.6094346435761,80453.64581892546
vxB,16,30.0,recip,126.46377981559404,-144.03932280471128,1264.6377981559401,-164.03932280471128,12646.377981559403,-184.03932280471128,0.92474637634912,0.0009247463763491201,1.2167254044603446e-05,0.8978662820487434,7.287399919143709,-101.99999964287517,-101.88851057856635,-130.69922074922516,-137.6094346435761,1788.4679256417794
vxB,16,433.92,hub,52715.42649479813,-196.43875449048852,527154.2649479812,-216.43875449048852,5271542.649479812,-236.43875449048852,0.92474637634912,0.0009247463763491201,1.4170283987539347e-07,0.8978662820487434,7.1493387716417365,-101.99999999982843,-101.99994575090668,-149.05571278697258,-136.76584760997068,745508.710952255
vxB,16,433.92,recip,16949.68237783791,-186.58323128619185,169496.8237783791,-206.58323128619185,1694968.237783791,-226.58323128619185,0.92474637634912,0.0009247463763491201,1.4170283987539347e-07,0.8978662820487434,7.1493387716417365,-101.99999999982843,-101.99994575090668,-149.05571278697258,-136.76584760997068,239704.70696654625
vxB,16,1296.0,hub,131200.00026831837,-204.35867671854894,1312000.0026831836,-224.35867671854894,13120000.026831836,-244.35867671854894,0.92474637634912,0.0009247463763491201,2.2876328865588155e-08,0.8978662820487434,0.05454828936447669,-101.9999999999925,-101.9999976267886,-136.50811798432636,-123.39312106154134,1855448.1976280953
vxB,16,1296.0,recip,125994.91253901327,-204.00706018792474,1259949.1253901327,-224.00706018792474,12599491.253901325,-244.00706018792474,0.92474637634912,0.0009247463763491201,2.2876328865588155e-08,0.8978662820487434,0.05454828936447669,-101.9999999999925,-101.9999976267886,-136.50811798432636,-123.39312106154134,1781837.141026845
vxB,18,1.0,hub,3.344995984588243,-112.48192669297268,33.449959845882425,-132.48192669297268,334.49959845882427,-152.48192669297268,92.474637634912,0.09247463763491201,0.003524206385959363,8.978662820487434,13.97719951398434,-101.99401467763553,-75.5940278251747,-113.70647089649397,-178.54557277466535,47.30538687488237
vxB,18,1.0,recip,0.0024786189898305163,-49.87821013165699,0.02478618989830516,-69.87821013165699,0.24786189898305158,-89.87821013165699,92.474637634912,0.09247463763491201,0.003524206385959363,8.978662820487434,13.97719951398434,-101.99401467763553,-75.5940278251747,-113.70647089649397,-178.54557277466535,0.03505296591373817
vxB,18,30.0,hub,56.88931852974293,-137.1006142716337,568.8931852974292,-157.1006142716337,5688.931852974293,-177.1006142716337,92.474637634912,0.09247463763491201,1.2167254044603446e-05,8.978662820487434,72.92101438984515,-101.99999964287517,-101.88851057856635,-166.2602411150395,-147.53684053868898,804.5364581892547
vxB,18,30.0,recip,1.2646377981559405,-104.03932280471128,12.646377981559402,-124.03932280471128,126.46377981559404,-144.03932280471128,92.474637634912,0.09247463763491201,1.2167254044603446e-05,8.978662820487434,72.92101438984515,-101.99999964287517,-101.88851057856635,-166.2602411150395,-147.53684053868898,17.884679256417794
vxB,18,433.92,hub,527.1542649479812,-156.43875449048852,5271.542649479812,-176.43875449048852,52715.42649479812,-196.43875449048852,92.474637634912,0.09247463763491201,1.4170283987539347e-07,8.978662820487434,81.5767752564257,-101.99999999982843,-101.99994575090668,-193.9653710019128,-147.24806934012693,7455.087109522548
vxB,18,433.92,recip,169.4968237783791,-146.58323128619185,1694.968237783791,-166.58323128619185,16949.68237783791,-186.58323128619185,92.474637634912,0.09247463763491201,1.4170283987539347e-07,8.978662820487434,81.5767752564257,-101.99999999982843,-101.99994575090668,-193.9653710019128,-147.24806934012693,2397.0470696654625
vxB,18,1296.0,hub,1312.0000026831835,-164.35867671854894,13120.000026831834,-184.35867671854894,131200.00026831837,-204.35867671854894,92.474637634912,0.09247463763491201,2.2876328865588155e-08,8.978662820487434,80.86326093474645,-101.9999999999925,-101.9999976267886,-201.13033830612008,-147.20662873795303,18554.481976280953
vxB,18,1296.0,recip,1259.9491253901326,-164.00706018792474,12599.491253901328,-184.00706018792474,125994.91253901327,-204.00706018792474,92.474637634912,0.09247463763491201,2.2876328865588155e-08,8.978662820487434,80.86326093474645,-101.9999999999925,-101.9999976267886,-201.13033830612008,-147.20662873795303,17818.37141026845
vxB,20,1.0,hub,0.033449959845882435,-72.48192669297268,0.3344995984588243,-92.48192669297268,3.3449959845882433,-112.48192669297268,9247.4637634912,9.2474637634912,0.003524206385959363,89.78662820487433,139.77201062339725,-101.99401467763553,-75.5940278251747,-209.49874103485666,-188.54303180361507,0.4730538687488238
vxB,20,1.0,recip,2.4786189898305166e-05,-9.878210131656992,0.0002478618989830517,-29.878210131656992,0.0024786189898305167,-49.87821013165699,9247.4637634912,9.2474637634912,0.003524206385959363,89.78662820487433,139.77201062339725,-101.99401467763553,-75.5940278251747,-209.49874103485666,-188.54303180361507,0.0003505296591373817
vxB,20,30.0,hub,0.5688931852974294,-97.1006142716337,5.688931852974292,-117.1006142716337,56.88931852974293,-137.1006142716337,9247.4637634912,9.2474637634912,1.2167254044603446e-05,89.78662820487433,729.2148443246197,-101.99999964287517,-101.88851057856635,-792.5465644175702,-157.52933390644506,8.045364581892548
vxB,20,30.0,recip,0.012646377981559405,-64.03932280471128,0.12646377981559404,-84.03932280471128,1.2646377981559405,-104.03932280471128,9247.4637634912,9.2474637634912,1.2167254044603446e-05,89.78662820487433,729.2148443246197,-101.99999964287517,-101.88851057856635,-792.5465644175702,-157.52933390644506,0.17884679256417796
vxB,20,433.92,hub,5.271542649479812,-116.43875449048852,52.71542649479812,-136.43875449048852,527.1542649479812,-156.43875449048852,9247.4637634912,9.2474637634912,1.4170283987539347e-07,89.78662820487433,816.7133493048857,-101.99999999982843,-101.99994575090668,-899.099125964942,-157.24525025469623,74.55087109522549
vxB,20,433.92,recip,1.6949682377837911,-106.58323128619185,16.94968237783791,-126.58323128619185,169.4968237783791,-146.58323128619185,9247.4637634912,9.2474637634912,1.4170283987539347e-07,89.78662820487433,816.7133493048857,-101.99999999982843,-101.99994575090668,-899.099125964942,-157.24525025469623,23.970470696654623
vxB,20,1296.0,hub,13.120000026831837,-124.35867671854892,131.20000026831835,-144.3586767185489,1312.0000026831835,-164.35867671854894,9247.4637634912,9.2474637634912,2.2876328865588155e-08,89.78662820487433,817.1060539216344,-101.9999999999925,-101.9999976267886,-907.4104693375236,-157.24396678246868,185.54481976280954
vxB,20,1296.0,recip,12.599491253901327,-124.00706018792474,125.99491253901326,-144.00706018792474,1259.9491253901326,-164.00706018792474,9247.4637634912,9.2474637634912,2.2876328865588155e-08,89.78662820487433,817.1060539216344,-101.9999999999925,-101.9999976267886,-907.4104693375236,-157.24396678246868,178.1837141026845
diff,16,1.0,hub,2.402938155344523,-109.60886654699495,24.029381553445226,-129.60886654699496,240.29381553445228,-149.60886654699496,128.72877767454796,0.12872877767454796,0.003524206385959363,0.8978662820487434,1.3977044679215826,-101.99401467763553,-75.5940278251747,-88.2792822316989,-168.57093930191076,33.98267728832011
diff,16,1.0,recip,0.0017805606256829044,-47.00514998567925,0.017805606256829046,-67.00514998567925,0.17805606256829046,-87.00514998567925,128.72877767454796,0.12872877767454796,0.003524206385959363,0.8978662820487434,1.3977044679215826,-101.99401467763553,-75.5940278251747,-88.2792822316989,-168.57093930191076,0.025180929854682874
diff,16,30.0,hub,40.86746733225,-134.22755412565598,408.67467332250004,-154.22755412565598,4086.7467332250003,-174.227554125656,128.72877767454796,0.12872877767454796,1.2167254044603446e-05,0.8978662820487434,7.287399919143709,-101.99999964287517,-101.88851057856635,-87.82616060324744,-137.6094346435761,577.9532656110737
diff,16,30.0,recip,0.9084753559887652,-101.16626265873356,9.084753559887652,-121.16626265873356,90.84753559887652,-141.16626265873356,128.72877767454796,0.12872877767454796,1.2167254044603446e-05,0.8978662820487434,7.287399919143709,-101.99999964287517,-101.88851057856635,-87.82616060324744,-137.6094346435761,12.847781695210372
diff,16,433.92,hub,378.69076759206587,-153.56569434451077,3786.9076759206587,-173.56569434451077,37869.07675920659,-193.56569434451077,128.72877767454796,0.12872877767454796,1.4170283987539347e-07,0.8978662820487434,7.1493387716417365,-101.99999999982843,-101.99994575090668,-106.18265264099483,-136.76584760997068,5355.496194741773
diff,16,433.92,recip,121.76109835208365,-143.7101711402141,1217.6109835208365,-163.71017114021413,12176.109835208365,-183.71017114021413,128.72877767454796,0.12872877767454796,1.4170283987539347e-07,0.8978662820487434,7.1493387716417365,-101.99999999982843,-101.99994575090668,-106.18265264099483,-136.76584760997068,1721.9619665896103
diff,16,1296.0,hub,942.4988492617337,-161.4856165725712,9424.988492617336,-181.4856165725712,94249.88492617336,-201.4856165725712,128.72877767454796,0.12872877767454796,2.2876328865588155e-08,0.8978662820487434,0.05454828936447669,-101.9999999999925,-101.9999976267886,-93.63505783834862,-123.39312106154134,13328.946551469791
